المپیک	اسمعا=المپیک+رسمی
داوود	منقطع=اسمفا=داوود+اغلو
پنج‌سال	چسبیده=پنج+سال
کارشناسان	صفت=کارشناس+جان+رسمی
هرکسی	مبهم=هرکس+نم+ذسمی
ماله‌کشی	ا.م=ماله+کش+ی+رسمی
شوربختانه	قید=شوربختانه+رسمی
گزارۀ	اسمعا=گزاره+رسمی
خبربیار	ا.م=خبر+بیار+رسمی
میتاناتولی	چسبیده=میت+آناتولی
بناهایی	اسمعا=بنا+جها+نم+رسمی
گویی	ا.م.پ=گویی
نگاری	ا.م.پ=نگار+ی
تامل	اسمعا=تامل+رسمی
رضایی	اسمفا=رضایی+رسمی
کامران	ایمشخ=کامران+رسمی
توطئه	منقطع=توطئه+چین+ترین
چی‌ترین	منقطع=توطئه+چین+ترین
بازترین	ا.م.پ=باز+تر+ین
محسور	صفت=محسور+رسمی
واکسن‌هراسی	ا.م=واکسن+هراس+ی
ماهم	چسبیده=ما+هم
چیکار	قید=چیکار
شرفاچرا	چسبیده=شرفا+چرا
بی‌همه	منقطع=بی+همه+چیزا
چیزا	منقطع=بی+همه+چیزا
صد	منقطع=در+صد
حدزیادی	چسبیده=حد+زیادی
سیاهنمایی	ا.م=سیاه+نما+یی
اینترآشغال	غلطنویسی=اینترآشغال
فاجعه‌سازیست	ا.م=فاجعه+ساز+ی
منهم	چسبیده=من+هم
تیترخون	ا.م=تیتر+خون
کسشر	اسمعا=کس‌شر
تیترنویسی‌های	ا.م=تیتر+نویس+ی+ها+ی
آسترا	خلاصه=آسترازنکا
کچ	تایپی=اسمعا=گچ+رسمی
پتیاره	صفت=پتیاره+رسمی
الشام	منقطع=احرار+الشام+رسمی
علیف	تایپی=اسمشخ=علی‌اف+رسمی
خردوغان	غلط‌نویسی=اردوغان
پندارد	ف.ح.س=پندار+ش۳+رسمی
رانزیت	تایپی=اسمعا=ترانزیت+رسمی
ازگل	صفت=ازگَل+رسمی
تق‌اش	اسمعا=تق+وشخصی۳+رسمی
ندید	تایپی=منفی+ف.م.س=دید+ش۵+رسمی
سالاران	ا.م.پ=سالار+جان+رسمی
ابرام	غ.نویسی=اسمشخ=ابرام
طلبان	ا.و.پ=طلب+جان+رسمی
اونوقت	قید=اونوقت
حرامخوری	ا.م=حرام+خوار+ی+رسمی
اشتباهات	صفت=اشتباه+جات+رسمی
پوتین	اسمشخ=پوتین+رسمی
قولی	ا.م.پ=قول+ی
اقاهه	اسمعا=آقا+معرفه
مهربونه	صفت=مهربون+وربطی۳
پابوسان	اسمعا=پابوس+جان+رسمی
توجیبی‌ات	ا.م.پ=تو+جیبی+ی
مامان‌فرح‌	چسبیده=مامان+فرح
پیش	منقطع=پیش+کش=اسمعا
داری	ا.م.پ=دار+ی
تاالان	چسبیده=تا+الان
بگیر	ا.م.پ=بگیر
دشمنان	صفت=دشمن+جان+رسمی
چندروز	چسبیده=چند+روز
انظباطم	تایپی=اسمعا=انضباط+وشخصی۱
کوچیکی	صفت=کوچیک+نم
جوونیمون	اسمعا=جوونی+وشخصی۴
زایه	تایپی=صفت=ضایع+رسمی
اینننننننن	غ.گویی=اشاره=این
زندگییییییییی	غ.گویی=اسمعا=زندگی
تینیجری	صفت=تینیجری
عهه	جملک=عهه
حاظرم	تایپی=حاضرم=صفت=حاضر+وربطی۱+رسمی
دبیرستاناى	اسمعام=دبیرستان+جا+اضافه
گرف	تایپی=غ.نویسی=ف.م.س=گرفت+ش۳
هاست	جها+وربطی۳
ممالکت	تایپی=اسمعا=ممالک(جم)+رسمی
یه	منقطع=یه+هو
دوستعلی	ایمشخ=دوستعلی
خان	منقطع=دوستعلی+خان
منشن	اسمعا=منشن=انگلیسی
زن‌ستیز	ا.م=زن+ستیز+رسمی
نفرت‌پراکنی	ا.م=نفرت+پراکن+ی
پانترک‌	ایمعا=پانترک+رسمی
میبنی	تایپی=میبینی=ف.ح.ا=بین+ش۲+رسمی
زنی	ا.م.پ=زن+ی
مسیولیت	تایپی=مسئولیت=اسمعا=مسئولیت+رسمی
ریپورتش	تسمعا=ریپورت+وشخصی۳
تخمی	صفت=تخمی
خفه	منقطع=خفه+خون
بازا	ا.م.پ=باز+جا
اسکیموووها	تایپی=اسمعا=اسکیمو+جها+رسمی
تووورک	تایپی=اسمعا=تورک
بیشرف	صفت=بی‌شرف+رسمی
بوقچی‌ها	اسمعا=بوقچی+جها+رسمی
خمواره	تایپی=خمپاره=اسمعا=خمپاره+رسمی
ژوان	غ.نویسی=صفت=جوان+رسمی
قوزمیت‌ها	صفت=قوزمیت+جها+رسمی
گوهخوری	ا.م=گوه+خور+ی
پس‌دو	چسبیده=پس+دو
المقدس	ا.م.پ=المقدس+رسمی
جولانگه	اسمعا=جولانگه+رسمی
تی	تی+شرت
شرت	تی+شرت
آردوینو	اسمخاص=آردوئینو+رسمی
میکروکنترل‌های	اسمعا=میکروکنترل+جها+اضافه+رسمی
ول	منقطع=ول+کن
کن	ا.م.پ=کن+رسمی
پهپاد	اسمعا=پهپاد+رسمی
نانو	اسمعا=نانو
حداد	منقطع=حداد+عادل
عادل	منقطع=اسمفا=حداد+عادل+رسمی
حزب	ا.م=حزب+اللهی=منقطع
پانعرب	اسمعا=پانعرب+رسمی
سممم	اسمعا=سم
نمیخامممم	منفی+ف.ح.ا=خواه+ش۱
باشمممم	ف.ح.س=باش+ش۱
تاحالا	چسبیده=تا+حالا
گل‌ریزون	اسمعا=گلریزون
شهید	شاخص=شهید+رسمی
بهشتی	اسمفا=بهشتی+رسمی
بزارید	تایپی=امری=گذار+ش۵
اسطورهای	تایپی=اسمعا=اسطوره+جها+اضافه+رسمی
کره	اسمجا=کره+رسمی
فونتی	اسمعا=فونت+نم+استاندارد
